sorter_name,thread_count,average_time,standard_deviation
Sequential,1,758043899,650513.271916
JavaSort,1,332993894,3766202.809383
ExecutorService,1,906038740,6251200.231667
ExecutorService,2,475631970,2540110.046865
ExecutorService,4,269242887,4493164.279671
ExecutorService,8,176163933,5930765.489508
ExecutorService,16,130840957,3084772.554394
ExecutorService,32,125848505,6039661.195891
ExecutorService,48,137258421,7148301.999495
ExecutorService,64,137841713,5718020.734237
ExecutorService,96,142579881,6580783.04391
ForkJoinPool,1,1323583415,30385353.050888
ForkJoinPool,2,664348678,21407213.402007
ForkJoinPool,4,356551386,10178400.721627
ForkJoinPool,8,208651818,7329786.990579
ForkJoinPool,16,132950417,7632297.599389
ForkJoinPool,32,95017979,4619082.429718
ForkJoinPool,48,86823668,2640353.195423
ForkJoinPool,64,84939213,2015248.138429
ForkJoinPool,96,88158524,2709062.131372
ParallelStream,1,1334907788,5361434.219138
ParallelStream,2,708454063,16332958.036059
ParallelStream,4,396722334,9878375.11985
ParallelStream,8,242980906,12339166.296657
ParallelStream,16,169878380,6519085.198347
ParallelStream,32,129116813,3209023.502882
ParallelStream,48,117308629,3467838.856287
ParallelStream,64,116494874,3851984.808939
ParallelStream,96,115313960,3247726.976587
Thread,1,1074981615,7646714.144803
Thread,2,597084993,9723635.361581
Thread,4,311849586,6030384.588233
Thread,8,197327484,1903410.768119
Thread,16,140298911,1466827.165515
Thread,32,128423555,766618.868076
Thread,48,139234379,1775118.060273
Thread,64,145692842,2098164.81201
Thread,96,162187899,2746260.43638
