sorter_name,thread_count,threshold,average_time,standard_deviation
ExecutorService,2,250,0.441310,0.007853
ExecutorService,2,500,0.438540,0.015804
ExecutorService,2,1000,0.422849,0.009388
ExecutorService,2,1250,0.404964,0.006776
ExecutorService,2,1500,0.402922,0.006177
ExecutorService,4,250,0.272107,0.014998
ExecutorService,4,500,0.255098,0.010012
ExecutorService,4,1000,0.257101,0.011496
ExecutorService,4,1250,0.242707,0.017124
ExecutorService,4,1500,0.243524,0.020393
ExecutorService,8,250,0.214634,0.010987
ExecutorService,8,500,0.198101,0.009863
ExecutorService,8,1000,0.198307,0.004429
ExecutorService,8,1250,0.190038,0.008251
ExecutorService,8,1500,0.190766,0.008079
Thread,2,250,0.478747,0.003834
Thread,2,500,0.475772,0.013645
Thread,2,1000,0.476783,0.007589
Thread,2,1250,0.458359,0.004835
Thread,2,1500,0.464145,0.007205
Thread,4,250,0.290359,0.023057
Thread,4,500,0.275087,0.021441
Thread,4,1000,0.271361,0.036216
Thread,4,1250,0.260249,0.025046
Thread,4,1500,0.261638,0.019976
Thread,8,250,0.240013,0.023257
Thread,8,500,0.240691,0.027056
Thread,8,1000,0.240235,0.012350
Thread,8,1250,0.239081,0.021640
Thread,8,1500,0.282209,0.025627
