threads,distribution,mix,average_time,standard_deviation,average_discrepancies
1,Normal,1:1:8,98502021.200000,15392061.083468,0
2,Normal,1:1:8,123232660.200000,15057697.547941,0
4,Normal,1:1:8,186540512.300000,24123047.285952,0
8,Normal,1:1:8,277418025.700000,38598506.058208,0
1,Normal,1:1:0,147739349.300000,12065255.604943,0
2,Normal,1:1:0,191171496.200000,11558984.836087,0
4,Normal,1:1:0,273876936.200000,51589661.837275,0
8,Normal,1:1:0,414928485.800000,63456994.732016,1
1,Uniform,1:1:8,75873877.500000,31362637.552270,0
2,Uniform,1:1:8,110349465.500000,4771697.883532,0
4,Uniform,1:1:8,263878887.200000,62189539.645285,0
8,Uniform,1:1:8,403825850.400000,75256378.134244,0
1,Uniform,1:1:0,201170975.800000,32927654.937567,0
2,Uniform,1:1:0,246932424.400000,32600456.848526,0
4,Uniform,1:1:0,341177340.000000,34126473.617331,0
8,Uniform,1:1:0,704330206.900000,174016140.388248,0
