threads,distribution,mix,average_time,standard_deviation,discrepancies
1,Normal,1:1:8,3388967.300000,571374.483343,0
2,Normal,1:1:8,3521206.200000,885399.249655,0
4,Normal,1:1:8,5289528.200000,656429.218405,0
8,Normal,1:1:8,8168843.700000,1999109.245395,0
1,Normal,1:1:0,1104155.900000,532351.719347,0
2,Normal,1:1:0,2580702.400000,1496641.123707,0
4,Normal,1:1:0,3963695.300000,1889349.128367,0
8,Normal,1:1:0,2473508.500000,738109.693990,0
1,Uniform,1:1:8,1750839.300000,282082.215549,0
2,Uniform,1:1:8,5250198.400000,179488.131690,0
4,Uniform,1:1:8,5399941.300000,407987.368291,0
8,Uniform,1:1:8,11227070.700000,3560648.070578,0
1,Uniform,1:1:0,908473.800000,139640.807439,0
2,Uniform,1:1:0,1235332.900000,192571.913188,0
4,Uniform,1:1:0,1601200.300000,210818.515566,0
8,Uniform,1:1:0,5117691.900000,2074008.288818,0
