threads,distribution,mix,average_time,standard_deviation
1,Normal,1:1:8,0.056163,0.003187
2,Normal,1:1:8,0.088984,0.026995
4,Normal,1:1:8,0.146868,0.017083
8,Normal,1:1:8,0.211994,0.035274
1,Normal,1:1:0,0.132886,0.008222
2,Normal,1:1:0,0.165246,0.011633
4,Normal,1:1:0,0.202566,0.019136
8,Normal,1:1:0,0.299902,0.032300
1,Uniform,1:1:8,0.048313,0.015249
2,Uniform,1:1:8,0.072474,0.031049
4,Uniform,1:1:8,0.116651,0.036290
8,Uniform,1:1:8,0.227150,0.022362
1,Uniform,1:1:0,0.138537,0.031034
2,Uniform,1:1:0,0.203910,0.023524
4,Uniform,1:1:0,0.266997,0.028060
8,Uniform,1:1:0,0.515919,0.105399
