threads,distribution,mix,average_time,standard_deviation
1,Normal,1:1:8,621602364.000000,8952377.439668
2,Normal,1:1:8,861172839.900000,75446179.153526
4,Normal,1:1:8,980661181.400000,149023621.004906
8,Normal,1:1:8,1204567157.800000,205936595.139070
16,Normal,1:1:8,1472440139.300000,96857229.278535
32,Normal,1:1:8,1863655482.100000,188625408.027426
48,Normal,1:1:8,2220689614.200000,91074828.251618
1,Normal,1:1:0,993774989.100000,20978496.788217
2,Normal,1:1:0,1368294642.400000,158191015.840829
4,Normal,1:1:0,1584923779.100000,274867656.051529
8,Normal,1:1:0,2120490480.300000,475405177.409780
16,Normal,1:1:0,2566127742.500000,NaN
32,Normal,1:1:0,3362487996.500000,NaN
48,Normal,1:1:0,4082051140.600000,NaN
1,Uniform,1:1:8,771555487.300000,87386389.895082
2,Uniform,1:1:8,1087293478.700000,152853386.904598
4,Uniform,1:1:8,1373667688.000000,194930626.566865
8,Uniform,1:1:8,1772546854.600000,585455666.890247
16,Uniform,1:1:8,1677086263.700000,228439229.998005
32,Uniform,1:1:8,2087534686.100000,202216549.058084
48,Uniform,1:1:8,2902133136.300000,NaN
1,Uniform,1:1:0,1516062629.700000,94462961.527961
2,Uniform,1:1:0,1807511750.600000,205284890.073971
4,Uniform,1:1:0,1918344219.700000,274343699.370526
8,Uniform,1:1:0,2153919657.700000,NaN
16,Uniform,1:1:0,2512529051.700000,NaN
32,Uniform,1:1:0,3582603425.200000,NaN
48,Uniform,1:1:0,4466512009.900000,NaN
