threads,distribution,mix,average_time,standard_deviation,average_discrepancies
1,Normal,1:1:8,747286855.200000,29523576.254651,0
2,Normal,1:1:8,1358590022.200000,106557404.136264,1
4,Normal,1:1:8,2166592310.000000,421446563.972226,1
8,Normal,1:1:8,4783061714.600000,NaN,4
16,Normal,1:1:8,12270628526.800000,NaN,15
32,Normal,1:1:8,28254201519.800000,NaN,17
48,Normal,1:1:8,44672431128.400000,NaN,34
1,Normal,1:1:0,1101916264.000000,34088851.035632,0
2,Normal,1:1:0,1803938385.000000,147912736.242154,2
4,Normal,1:1:0,2960919929.000000,NaN,6
8,Normal,1:1:0,5640147838.600000,NaN,34
16,Normal,1:1:0,14135469670.800000,NaN,77
32,Normal,1:1:0,30997848175.600000,NaN,154
48,Normal,1:1:0,47751416112.600000,NaN,259
1,Uniform,1:1:8,887130614.200000,31615961.006304,0
2,Uniform,1:1:8,1647849393.600000,19276949.268678,0
4,Uniform,1:1:8,2159736028.400000,379837391.712037,0
8,Uniform,1:1:8,4566505291.000000,NaN,1
16,Uniform,1:1:8,13381956739.000000,NaN,2
32,Uniform,1:1:8,28619817399.600000,NaN,8
48,Uniform,1:1:8,46545314313.200000,NaN,16
1,Uniform,1:1:0,1518188152.000000,28479152.375980,0
2,Uniform,1:1:0,1926475090.600000,55158978.206871,1
4,Uniform,1:1:0,3302407621.000000,NaN,2
8,Uniform,1:1:0,5042143932.200000,NaN,12
16,Uniform,1:1:0,11665198369.000000,NaN,30
32,Uniform,1:1:0,31709424021.000000,NaN,49
48,Uniform,1:1:0,47029012524.000000,NaN,99
