threads,distribution,mix,average_time,standard_deviation,average_discrepancies
1,Normal,1:1:8,74171861.200000,6033640.840138,0
2,Normal,1:1:8,130966315.800000,13963208.561478,0
4,Normal,1:1:8,190576757.100000,28685575.072271,0
8,Normal,1:1:8,300772752.000000,29996595.507396,0
1,Normal,1:1:0,165909167.800000,38807797.101251,0
2,Normal,1:1:0,215255878.600000,29367375.644349,0
4,Normal,1:1:0,362550593.600000,51404791.223741,0
8,Normal,1:1:0,615489577.700000,81783985.411154,1
1,Uniform,1:1:8,95409918.300000,7851452.490682,0
2,Uniform,1:1:8,132574401.300000,15554231.938784,0
4,Uniform,1:1:8,265118537.300000,30930076.279075,0
8,Uniform,1:1:8,500853503.500000,71848243.498525,0
1,Uniform,1:1:0,224828962.700000,28351390.502654,0
2,Uniform,1:1:0,274522432.400000,26960764.029119,0
4,Uniform,1:1:0,463661479.200000,130751834.754854,0
8,Uniform,1:1:0,527194334.500000,56882729.689906,0
